episode,reward,epsilon,Max Future Q-value,Action,State
0,-51,0.9,-0.17552225021391532, ,Non ideal heartRate
1,-312,0.8998200000000001,-2.0057974227852062,Daignose for SpO2 and FiO2, 
2,-200,0.8996400360000001,-2.1381751424427895,Daignose for heartRate,Non ideal SpO2 and FiO2
3,-348,0.8994601079928001,-1.3072204195356885,Daignose for heartRate,Non ideal SpO2 and FiO2
4,-112,0.8992802159712016,-2.7868276428461813, ,Non ideal heartRate
5,-120,0.8991003599280073,-0.029988377408783684,Daignose for heartRate,Non ideal SpO2 and FiO2
6,11,0.8989205398560217,-1.7188633917824951,Daignose for heartRate,Non ideal SpO2 and FiO2
7,-346,0.8987407557480506,-0.005798722064565887,Daignose for ArterialpH level,Non ideal ArterialpH level
8,-392,0.8985610075969009,-1.02949398608104, ,Non ideal SpO2 and FiO2
9,-130,0.8983812953953816,-0.14788196940342413, ,Non ideal heartRate
10,-412,0.8982016191363025,-0.1842999555258178,Daignose for ArterialpH level, 
11,-51,0.8980219788124753,-1.115970672706308,Daignose for heartRate, 
12,-301,0.8978423744167128,-0.7219399482653026,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
13,-301,0.8976628059418295,-0.7426107153640906,Daignose for SpO2 and FiO2, 
14,-3,0.8974832733806412,-0.4640363715787208, , 
15,-7,0.8973037767259651,-1.9983155286479786,Daignose for heartRate,Non ideal heartRate
16,-99,0.8971243159706199,-0.3979214535026916, ,Non ideal heartRate
17,-85,0.8969448911074258,-0.411790193469038,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
18,-21,0.8967655021292044,-1.612847306552525,Daignose for ArterialpH level,Non ideal ArterialpH level
19,21,0.8965861490287785,-0.8111510825808619,Daignose for ArterialpH level,Non ideal ArterialpH level
20,-313,0.8964068317989728,-1.8244740412297347,Daignose for SpO2 and FiO2, 
21,-36,0.896227550432613,-0.8983044081394729,Daignose for SpO2 and FiO2,Non ideal heartRate
22,-333,0.8960483049225265,-1.7073912646416227, ,Non ideal heartRate
23,25,0.895869095261542,-0.8664646168781411,Daignose for heartRate,Non ideal ArterialpH level
24,-388,0.8956899214424897,-1.7571038397250351,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
25,-9,0.8955107834582012,-0.1719029360669353, ,Non ideal ArterialpH level
26,-357,0.8953316813015096,-0.6364754429291306,Daignose for heartRate, 
27,-31,0.8951526149652493,-0.1719029360669353,Daignose for ArterialpH level, 
28,25,0.8949735844422563,-1.8636112878960462,Daignose for ArterialpH level,Non ideal ArterialpH level
29,-319,0.8947945897253679,-0.09665695596957757,Daignose for ArterialpH level,Non ideal ArterialpH level
30,-33,0.8946156308074228,-0.24309030449091917, , 
31,-441,0.8944367076812614,-1.9418348092745257,Daignose for ArterialpH level,Non ideal heartRate
32,-71,0.8942578203397251,-2.105502187380636, ,Non ideal ArterialpH level
33,-423,0.8940789687756572,-0.7426107153640906,Daignose for ArterialpH level,Non ideal heartRate
34,-301,0.8939001529819021,-0.006708703494227031,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
35,-20,0.8937213729513057,-0.3979214535026916,Daignose for heartRate, 
36,-24,0.8935426286767155,-0.7216739691319631, ,Non ideal ArterialpH level
37,-334,0.8933639201509802,-1.1129311124324492,Daignose for heartRate,Non ideal heartRate
38,-68,0.89318524736695,-0.1849349669604976,Daignose for SpO2 and FiO2, 
39,-42,0.8930066103174766,-0.34392595375315516,Daignose for ArterialpH level,Non ideal heartRate
40,-382,0.8928280089954131,-1.4725343828237616,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
41,-200,0.8926494433936141,-1.8284964250157298,Daignose for heartRate, 
42,-7,0.8924709135049353,-0.24309030449091917,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
43,-317,0.8922924193222344,-0.2999923904962465,Daignose for ArterialpH level,Non ideal heartRate
44,-321,0.8921139608383699,-2.3101228727984036, ,Non ideal SpO2 and FiO2
45,2,0.8919355380462023,-0.5089904775687168, ,Non ideal ArterialpH level
46,-200,0.8917571509385931,-2.4902673309413896,Daignose for SpO2 and FiO2, 
47,-475,0.8915787995084054,-1.199880050624555,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
48,-200,0.8914004837485037,-0.6374365514836712, , 
49,-110,0.891222203651754,-0.26297342918891786,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
